H,hydr-ogen,-1
Li,lithium,+1
N,nitrogen,-3
O,ox-ygen,-2
F,flour-ine,-1
Na,sodium,+1
Mg,magnesium,+2
Al,aluminum,+3
S,sulf-ur,-2
Cl,chlor-ine,-1
K,potassium,+1
Ca,calcium,+2
Mn,manganese,+2
Fe,iron,+2, +3
Co,cobalt,+2
Ni,nickel,+2
Cu,copper,+1,+2
Zn,zinc,+2
Se,selen-ium,-2
Br, brom-ine,-1
Rb,rubidium,+1
Sr,strontium,+2
Ag,silver,+1
Cd,cadmium,+2
Sn,tin,+2
Te,tellur-ium,-2
I,iod-ine,-1
Cs,cesium,+1
Ba,barium,+2
Pb,lead,+2
Bi,bismuth,+3
NH4,ammonium,+1
OH,hydroxide,-1
NO3,nitrate,-1
ClO3,chlorate,-1
ClO4,perchlorate,-1
MnO4,permanganate,-1
HCO3,hydrogen carbonate,-1
CO3,carbonate,-2
SO4,sulfate,-2
CrO4,chromate,-2
Cr2O7,dichromate,-2
PO4,phosphate,-3
