1,H,Hydro-gen,1.0079
2,He,Helium,4.0026
3,Li,Lithium,6.941
4,Be,Beryllium,9.012
5,B,Boron,10.811
6,C,Carbon,12.011
7,N,Nitr-ogen,14.007
8,O,Ox-ygen,15.999
9,F,Flour-ine,18.998
10,Ne,Neon,20.180
11,Na,Sodium,22.990
12,Mg,Magnesium,24.305
13,Al,Aluminum,26.982
14,Si,Silicon,28.0856
15,P,Phosphorus,30.974
16,S,Sulf-ur,32.066
17,Cl,Chlor-ine,35.453
18,Ar,Argon,39.948
19,K,Potassium,39.098
20,Ca,Calcium,40.078
21,Sc,Scandium,44.956
22,Ti,Titanium,47.867
23,V,Vanadium,50.942
24,Cr,Chromium,51.996
25,Mn,Manganese,54.938
26,Fe,Iron,55.845
27,Co,Cobalt,58.933
28,Ni,Nickel,58.693
29,Cu,Copper,63.546
30,Zn,Zinc,65.38
31,Ga,Gallium,69.723
32,Ge,Germanium,72.630
33,As,Aresenic,74.922
34,Se,Selen-ium,78.971
35,Br,Brom-ine,79.904
36,Kr,Krypton,83.798
37,Rb,Rubidium,85.468
38,Sr,Strontium,87.620
39,Y,Yttrium,88.906
40,Zr,Zirconium,91.244
41,Nb,Niobium,92.906
42,Mo,Molybdenum,95.95
43,Tc,Technetium,98
44,Ru,Ruthenium,101.07
45,Rh,Rhodium,102.91
46,Pd,Palladium,106.42
47,Ag,Silver,107.87
48,Ca,Cadmium,112.41
49,In,Indium,114.82
50,Sn,Tin,118.71
51,Sb,Antimony,121.76
52,Te,Tellur-ium,127.60
53,I,Iod-ine,126.90
54,Xe,Xenon,131.29
55,Cs,Cesium,132.91
56,Ba,Barium,137.33
